x1,f
0.012,6.63
0.015,6.75
0.018,9.18
0.028,2
0.036,1.35
0.037,4.41
0.039,0.83
0.052,7.72
0.063,5.1
0.063,8.96
0.066,8.3
0.069,2.51
0.075,5.07
0.079,6.88
0.088,8.98
0.107,3.46
0.11,1.13
0.114,6.2
0.115,9.43
0.12,7.88
0.154,8.28
0.195,5.35
0.222,6.68
0.227,7.69
0.229,2.2
0.231,6.64
0.236,2.73
0.238,2.94
0.25,3.85
0.283,2.49
0.302,3.04
0.305,8.06
0.327,6.26
0.332,0.13
0.336,1.92
0.378,5.73
0.38,6.68
0.409,6.16
0.409,3.38
0.423,3.28
0.466,6.7
0.475,2.36
0.5,3.71
0.504,5.85
0.504,7.16
0.521,6.39
0.521,7.3
0.522,5.05
0.535,5.24
0.536,3.89
0.541,0
0.55,0.9
0.563,4.24
0.565,4.86
0.568,0.27
0.57,5.01
0.584,6.83
0.587,4.31
0.592,2.18
0.607,0.96
0.62,7.69
0.628,3.29
0.632,8.22
0.634,5.78
0.641,0.32
0.645,3.92
0.657,7.99
0.697,5.24
0.697,7.73
0.703,9.01
0.716,7.2
0.72,5.82
0.723,5.74
0.723,4.59
0.759,7.89
0.771,7.8
0.775,9.58
0.79,1.04
0.791,3.58
0.812,0.32
0.82,8.3
0.853,0.17
0.854,2.82
0.86,4.68
0.865,7.64
0.88,9.77
0.881,8.42
0.904,0.09
0.906,5.52
0.908,4.12
0.909,6.06
0.913,2.76
0.919,4.32
0.919,4.81
0.93,3.87
0.95,7.37
0.952,7.82
0.964,5.41
0.991,6.04
0.992,1.41

